Location,Climate File,FLOOR 1,Mech,FLOOR 2,AUDITORIUM,GYM,KITCHEN CAFETERIA,Unmet Hours (Heating),UnmetHoursCooling,UH Compliance,PeakHeatingLoad,PeakCoolingLoad,EUI
1A,TMY7WA,86,28,93,25,19,25,0,1,1,3658993,2270994,aaa
1A,TMY3WA,91,32,95,29,21,28,1,29,30,3658993,2270994,aaa
1A,TMY3,83,27,91,24,18,24,0,24,24,3658993,2270994,aaa
1A,TMY2,83,26,91,24,17,24,0,24,24,3658993,2270994,aaa
1A,TMY15WA,88,30,94,27,20,27,0,27,27,3658993,2270994,aaa
1A,MIN,65,20,79,19,14,18,0,18,18,3658993,2270994,aaa
1A,MAX,94,35,96,32,24,30,1,31,32,3658993,2270994,aaa
2A,TMY7WA,86,24,88,21,14,22,2,24,26,3817965,2027098,aaa
2A,TMY3WA,88,26,90,23,16,23,0,23,23,3817965,2027098,aaa
2A,TMY3,83,22,86,20,14,20,8,28,36,3817965,2027098,aaa
2A,TMY2,83,22,85,19,13,20,2,22,24,3817965,2027098,aaa
2A,TMY15WA,87,24,89,21,15,22,1,23,24,3817965,2027098,aaa
2A,MIN,64,20,70,17,12,16,14,30,44,3817965,2027098,aaa
2A,MAX,95,31,95,27,18,27,3,30,33,3817965,2027098,aaa
2B,TMY7WA,84,22,85,19,16,19,16,35,51,3335691,2606043,aaa
2B,TMY3WA,86,24,87,21,17,21,17,38,55,3335691,2606043,aaa
2B,TMY3,86,24,88,21,18,21,18,39,57,3335691,2606043,aaa
2B,TMY2,85,23,86,20,17,20,22,42,64,3335691,2606043,aaa
2B,TMY15WA,84,23,85,20,16,20,17,37,54,3335691,2606043,aaa
2B,MIN,72,18,75,16,12,14,25,39,64,3335691,2606043,aaa
2B,MAX,89,27,89,22,20,23,8,31,39,3335691,2606043,aaa
3A,TMY7WA,73,20,77,17,12,17,6,23,29,4088501,1694811,aaa
3A,TMY3WA,77,20,81,17,12,18,5,23,28,4088501,1694811,aaa
3A,TMY3,72,20,76,17,12,17,5,22,27,4088501,1694811,aaa
3A,TMY2,70,19,75,16,11,16,6,22,28,4088501,1694811,aaa
3A,TMY15WA,75,20,79,17,12,17,5,22,27,4088501,1694811,aaa
3A,MIN,52,19,59,16,11,13,9,22,31,4088501,1694811,aaa
3A,MAX,88,25,90,20,14,22,1,23,24,4088501,1694811,aaa
3B,TMY7WA,77,20,80,17,15,17,10,27,37,3619627,2270609,aaa
3B,TMY3WA,79,21,81,18,15,18,12,30,42,3619627,2270609,aaa
3B,TMY3,78,20,80,18,16,18,18,36,54,3619627,2270609,aaa
3B,TMY2,78,20,80,18,15,17,13,30,43,3619627,2270609,aaa
3B,TMY15WA,77,20,80,18,15,17,11,28,39,3619627,2270609,aaa
3B,MIN,61,19,66,15,12,13,15,28,43,3619627,2270609,aaa
3B,MAX,84,23,85,19,17,20,3,23,26,3619627,2270609,aaa
3C,TMY7WA,64,8,72,7,7,9,1,10,11,3224919,1427049,aaa
3C,TMY3WA,71,11,77,9,8,12,2,14,16,3224919,1427049,aaa
3C,TMY3,66,9,73,8,7,10,10,20,30,3224919,1427049,aaa
3C,TMY2,63,9,70,8,8,9,0,9,9,3224919,1427049,aaa
3C,TMY15WA,67,9,74,8,8,11,2,13,15,3224919,1427049,aaa
3C,MIN,53,9,61,9,8,7,24,31,55,3224919,1427049,aaa
3C,MAX,76,14,81,11,9,15,0,15,15,3224919,1427049,aaa
4A,TMY7WA LPD,247,13,362,21,45,62,120,182,302,4186155,1779127,aaa
4A,TMY3WA LPD,247,13,364,20,44,59,100,159,259,4186155,1779127,aaa
4A,TMY3 LPD,260,13,375,22,46,66,173,239,412,4186155,1779127,aaa
4A,TMY2 LPD,263,13,377,23,47,68,101,169,270,4186155,1779127,aaa
4A,MIN LPD,296,12,399,32,54,91,153,244,397,4186155,1779127,aaa
4A,TMY15WA LPD,248,13,367,20,44,60,164,224,388,4186155,1779127,aaa
4A,MAX LPD,244,12,365,16,40,49,60,109,169,4186155,1779127,aaa
4B,TMY7WA LPD,13,20,15,15,14,12,1162,1174,2336,3979021,1563996,aaa
4B,TMY3WA LPD,13,21,15,14,16,12,1218,1230,2448,3979021,1563996,aaa
4B,TMY3 LPD,14,21,16,15,15,13,1710,1723,3433,3979021,1563996,aaa
4B,TMY2 LPD,14,20,16,15,15,13,1479,1492,2971,3979021,1563996,aaa
4B,MIN LPD,15,20,16,16,12,12,1709,1721,3430,3979021,1563996,aaa
4B,TMY15WA LPD,13,20,16,15,15,12,2285,2297,4582,3979021,1563996,aaa
4B,MAX LPD,14,24,16,15,19,13,457,470,927,3979021,1563996,aaa
4C,TMY7WA LPD,11,14,13,12,10,9,75,84,159,3717432,1647824,aaa
4C,TMY3WA LPD,10,12,12,11,9,9,56,65,121,3717432,1647824,aaa
4C,TMY3 LPD,11,13,13,11,9,10,171,181,352,3717432,1647824,aaa
4C,TMY2 LPD,11,13,13,11,9,10,220,230,450,3717432,1647824,aaa
4C,MIN LPD,14,18,15,15,10,10,209,219,428,3717432,1647824,aaa
4C,TMY15WA LPD,11,13,13,12,9,9,815,824,1639,3717432,1647824,aaa
4C,MAX LPD,12,15,14,12,12,12,0,12,12,3717432,1647824,aaa
5A,5A_TMY7_WA,15,21,17,16,11,14,69,83,152,4783322,1715606,aaa
5A,5A_TMY3_WA,15,21,17,16,11,14,56,70,126,4783322,1715606,aaa
5A,5A_TMY3,15,21,17,16,11,14,84,98,182,4783322,1715606,aaa
5A,5A_TMY2,15,20,17,16,11,14,57,71,128,4783322,1715606,aaa
5A,5A_TMY15_WA,15,22,17,16,11,14,76,90,166,4783322,1715606,aaa
5A,5A_MIN_WA,16,19,16,16,11,12,130,142,272,4783322,1715606,aaa
5A,5A_MAX_WA,17,26,19,17,12,17,0,17,17,4783322,1715606,aaa
5B,TMY7WA,14,17,15,15,12,11,1031,1042,2073,4593129,1623303,aaa
5B,TMY3WA,13,17,15,14,12,11,1051,1062,2113,4593129,1623303,aaa
5B,TMY3,14,19,15,14,14,12,789,801,1590,4593129,1623303,aaa
5B,TMY2,14,19,15,15,13,12,810,822,1632,4593129,1623303,aaa
5B,TMY15WA,13,17,15,14,12,11,864,875,1739,4593129,1623303,aaa
5B,MIN,18,21,18,18,13,13,1651,1664,3315,4593129,1623303,aaa
5B,MAX,13,20,15,13,14,11,77,88,165,4593129,1623303,aaa
5C,TMY7WA,11,12,12,11,9,8,10,18,28,3909844,1097704,aaa
5C,TMY3WA,10,11,12,11,9,9,16,25,41,3909844,1097704,aaa
5C,TMY2,15,19,17,16,11,13,114,127,241,3909844,1097704,aaa
5C,TMY15WA,10,11,12,11,9,8,24,32,56,3909844,1097704,aaa
5C,MIN,14,16,14,15,10,9,25,34,59,3909844,1097704,aaa
5C,MAX,10,13,13,11,9,10,324,334,658,3909844,1097704,aaa
5C,doeCWEC,11,12,12,11,9,9,0,9,9,3909844,1097704,aaa
5C,CWEC,11,12,12,11,9,9,63,72,135,5063981,1659937,aaa
6A,TMY7WA,15,21,17,16,11,14,120,134,254,5063981,1659937,aaa
6A,TMY3WA,15,21,17,16,11,14,151,165,316,5063981,1659937,aaa
6A,TMY3,16,21,18,17,12,14,140,154,294,5063981,1659937,aaa
6A,TMY2,16,21,18,16,12,14,202,216,418,5063981,1659937,aaa
6A,TMY15WA,15,22,17,16,12,14,403,417,820,5063981,1659937,aaa
6A,MIN,17,21,18,17,12,13,79,92,171,5063981,1659937,aaa
6A,MAX,18,29,20,18,14,17,675,692,1367,5141729,1535761,aaa
6B,TMY7WA,36,65,37,37,22,38,621,659,1280,5141729,1535761,aaa
6B,TMY3WA,14,18,15,15,13,11,910,921,1831,5141729,1535761,aaa
6B,TMY3,13,18,15,14,12,11,2140,2151,4291,5141729,1535761,aaa
6B,TMY2,14,18,15,15,12,11,771,782,1553,5141729,1535761,aaa
6B,TMY15WA,13,17,15,14,12,10,1475,1485,2960,5141729,1535761,aaa
6B,MIN,18,23,19,19,13,14,72,86,158,5141729,1535761,aaa
6B,MAX,13,20,15,14,15,11,44,55,99,5145132,1362498,aaa
7,TMY7WA,15,19,16,15,11,13,49,62,111,5145132,1362498,aaa
7,TMY3WA,14,18,16,15,11,12,126,138,264,5145132,1362498,aaa
7,TMY3,15,19,16,16,11,12,93,105,198,5145132,1362498,aaa
7,TMY2,15,19,16,16,11,12,77,89,166,5145132,1362498,aaa
7,TMY15WA,14,18,16,15,11,13,242,255,497,5145132,1362498,aaa
7,MIN,17,21,18,18,12,13,19,32,51,5145132,1362498,aaa
7,MAX,16,24,18,16,12,15,80,95,175,5939305,1242278,aaa
8,TMY7WA,16,20,17,16,12,13,132,145,277,5939305,1242278,aaa
8,TMY3WA,15,20,17,16,12,12,441,453,894,5939305,1242278,aaa
8,TMY3,16,21,18,17,12,14,246,260,506,5939305,1242278,aaa
8,TMY2,17,21,18,18,12,14,418,432,850,5939305,1242278,aaa
8,TMY15WA,16,20,17,16,12,13,955,968,1923,5939305,1242278,aaa
8,MIN,21,26,21,22,14,16,0,16,16,5939305,1242278,aaa
8,MAX,15,20,17,15,14,12,,,0,5939305,1242278,aaa
